,N (kg/ha),P (kg/ha),K (kg/ha),Temperature (°C),Humidity (%),pH,Rainfall (mm),label,Governorate,Irrigation,Fertilizer Plant,Flood,Sprinkler,Drip,Planting Season,Growing Season,Harvest Season,Area (ha),Fertilizer (kg),Pesticide (kg),Yield (t/ha),Year,Month,Date,Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),District
567,98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,596.0,94168.0,196.68,1.5545454545454545,2022,4,2022-04-12,28.0,11.5,0.0,17.9,District I (Nord-Ouest)
568,104,17,46,25.7131428,80.22972777,6.190015912000001,43.08961827,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,4952.0,782416.0,1634.16,65.63592233009709,2020,9,2020-09-15,29.3,18.3,3.0,12.9,District I (Nord-Ouest)
569,31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,Tunis,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,autumn,winter,spring,1188512.0,192776646.4,415979.2,0.493703704,2021,6,2021-06-09,28.6,17.9,0.0,22.0,District II (Grand Tunis et ses environs)
570,9,77,17,20.12373284,24.45202552,5.783425416,106.158201,kidneybeans,Sfax,Drip,DAP,bad,medium,best,spring,summer,autumn,930.0,146940.0,306.90000000000003,0.5202020202020202,2021,7,2021-07-31,39.5,26.6,0.0,19.8,District IV (Sud-Ouest)
571,106,46,20,23.43821725,78.63388824,6.2006719760000015,81.15072105,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,43.0,6974.6,15.05,0.573333333,2023,3,2023-03-29,23.2,5.2,0.0,10.1,District I (Nord-Ouest)
572,83,21,28,25.5674832,60.49244602,7.466900682999999,190.2257843,coffee,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,304.0,48032.0,100.32,2.872727272727273,2021,10,2021-10-10,20.1,17.0,21.4,18.7,District I (Nord-Ouest)
573,13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange,Tataouine,Drip,Seventeen-Seventeen-Seventeen,bad,medium,best,spring,summer,autumn,1821.0,287718.0,600.9300000000001,20.062626262626264,2021,1,2021-01-29,22.2,13.4,0.0,38.6,District V (Sud)
574,21,135,198,23.86087054,94.92048112,5.7650151260000015,105.0241329,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,6300.0,995400.0,2079.0,11.850505050505047,2023,1,2023-01-29,13.1,4.9,0.5,12.2,District II (Grand Tunis et ses environs)
575,108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,395.0,62410.0,130.35,0.997979797979798,2020,8,2020-08-12,40.3,23.3,0.0,19.2,District I (Nord-Ouest)
576,69,66,49,40.00439101,90.17015833,6.52711001,92.11877372,papaya,Tunis,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,647.0,102226.0,213.51,48.18181818181818,2024,9,2024-09-05,33.8,25.4,0.4,19.3,District II (Grand Tunis et ses environs)
577,39,65,53,35.33294932,92.11508608,6.560743092999999,235.6133585,papaya,Kasserine,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,173.0,27334.0,57.09,35.0,2022,5,2022-05-24,36.7,22.8,0.0,22.2,District III (Centre/Sahel)
578,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,Bizerte,Sprinkler,Twenty Eight-Twenty Eight,bad,best,bad,spring,summer,autumn,104.326,16921.6772,36.5141,4.508,2021,9,2021-09-03,32.6,25.5,0.0,21.3,District I (Nord-Ouest)
579,100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,899.0,142042.0,296.67,3.107070707070707,2023,6,2023-06-04,24.5,16.9,2.1,12.7,District I (Nord-Ouest)
580,113,38,25,22.00085141,79.47270984,7.388265887999999,90.42224164,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,713879.0,115791173.8,249857.65,1.862692308,2024,8,2024-08-07,38.7,21.1,0.0,10.4,District I (Nord-Ouest)
581,27,56,20,19.25975367,20.51346956,5.542690119,94.9533526,kidneybeans,Sidi Bouzid,Drip,DAP,bad,medium,best,spring,summer,autumn,730.0,115340.0,240.9,1.4191919191919191,2023,1,2023-01-15,21.2,4.0,0.0,22.5,District IV (Sud-Ouest)
582,22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,Kasserine,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,458579.0,78765529.04,169674.23,1.443636364,2021,5,2021-05-23,35.2,18.1,0.0,15.8,District III (Centre/Sahel)
583,27,71,24,31.46417866,48.17631461,7.064973419,165.40535400000005,pigeonpeas,Sidi Bouzid,Drip,DAP,bad,medium,best,spring,summer,autumn,36.0,5688.0,11.88,1.1555555555555554,2020,10,2020-10-01,30.9,19.4,0.0,12.9,District IV (Sud-Ouest)
584,84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,Bizerte,Flood,Urea,best,medium,bad,spring,summer,autumn,9397.0,1614028.72,3476.89,3.883333333,2024,3,2024-03-27,16.9,11.3,4.4,41.4,District I (Nord-Ouest)
585,37,52,47,43.08022702,93.90305729,6.54277684,211.8529059,papaya,Kasserine,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,spring,summer,autumn,950.0,150100.0,313.5,62.27272727272727,2023,5,2023-05-14,21.9,9.3,26.9,20.1,District III (Centre/Sahel)
586,26,35,31,33.44619894,53.05980465,5.339556562,98.05089394,mango,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,summer,28897.0,4565726.0,9536.01,7.96969696969697,2023,8,2023-08-02,33.9,25.6,0.0,21.1,District IV (Sud-Ouest)
587,97,12,47,25.28784623,89.63667876,6.765094963999998,58.28697664,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,861.0,136038.0,284.13,68.3,2024,10,2024-10-16,31.0,19.2,0.0,16.7,District I (Nord-Ouest)
588,31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,Tunis,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,autumn,winter,spring,1188512.0,192776646.4,415979.2,0.493703704,2021,2,2021-02-28,17.2,9.0,0.0,18.9,District II (Grand Tunis et ses environs)
589,28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram,Sidi Bouzid,Drip,DAP,bad,medium,best,summer,summer,autumn,63.0,9954.0,20.790000000000003,0.8585858585858586,2021,11,2021-11-27,18.5,10.0,1.6,26.4,District IV (Sud-Ouest)
590,35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,172954.0,28053138.8,60533.9,1.263939394,2020,10,2020-10-24,24.9,16.8,0.0,18.6,District II (Grand Tunis et ses environs)
591,47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,330912.0,53673926.4,115819.2,1.0168,2020,4,2020-04-21,23.2,14.9,3.1,31.1,District II (Grand Tunis et ses environs)
592,35,63,76,17.81564548,17.60756635,7.714153037999999,90.82097601,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,572383.0,92840522.6,200334.05,1.325384615,2023,5,2023-05-13,25.5,16.5,0.3,13.7,District II (Grand Tunis et ses environs)
593,85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,coffee,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,253.0,39974.0,83.49000000000001,2.7555555555555555,2022,11,2022-11-02,24.7,16.5,0.0,10.2,District I (Nord-Ouest)
594,70,50,53,37.4620912,90.44967809,6.933809742999999,172.3458448,papaya,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,spring,summer,autumn,263.0,41554.0,86.79,30.454545454545453,2021,3,2021-03-03,17.5,11.2,0.0,20.0,District II (Grand Tunis et ses environs)
595,23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,coconut,Sfax,Flood,Seventeen-Seventeen-Seventeen,best,medium,bad,summer,summer,autumn,437099.0,66985421.75,152984.65,7996.762143,2020,6,2020-06-21,31.1,20.7,0.0,29.7,District IV (Sud-Ouest)
596,114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana,Jendouba,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,7240.0,1109530.0,2534.0,10.72545455,2022,3,2022-03-30,22.7,13.5,1.2,17.0,District I (Nord-Ouest)
597,90,42,43,22.54,62.36,6.03,1174.88,cotton,Bizerte,Drip,Urea,bad,medium,best,spring,summer,autumn,2654636.0,455960279.4,982215.32,3.182,2022,8,2022-08-21,29.0,25.7,0.1,29.6,District I (Nord-Ouest)
598,99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,320.0,50560.0,105.6,26.626262626262623,2020,6,2020-06-12,35.4,19.1,0.0,19.2,District I (Nord-Ouest)
599,41,26,24,29.53,59.06,7.2,460.0,urad,Mahdia,Drip,Twenty Eight-Twenty Eight,bad,medium,best,spring,summer,autumn,51579.0,8144839.89,17021.07,0.667777778,2024,8,2024-08-30,32.1,22.3,0.0,20.5,District III (Centre/Sahel)
600,52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram,Kasserine,Drip,DAP,bad,medium,best,summer,summer,autumn,74.0,11692.0,24.42,0.6161616161616161,2020,8,2020-08-02,39.7,21.9,0.0,12.8,District III (Centre/Sahel)
601,133,67,103,20.0,58.0,6.5,433.0,cucumber,Jendouba,Drip,Urea,bad,medium,best,spring,summer,summer,200.0,31600.0,66.0,100.0,2020,2,2020-02-08,18.2,3.4,0.0,10.9,District I (Nord-Ouest)
602,200,100,150,30.0,75.0,7.5,700.0,soft wheat,Jendouba,Sprinkler,Urea,bad,best,bad,autumn,winter,spring,33400.0,5277200.0,11022.0,4.0,2020,11,2020-11-16,26.1,11.8,0.1,16.7,District I (Nord-Ouest)
603,38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil,Kairouan,Drip,DAP,bad,medium,best,autumn,winter,spring,123675.0,19540650.0,40812.75,1.6763636363636365,2021,3,2021-03-30,23.3,11.1,0.0,16.0,District III (Centre/Sahel)
604,22,54,38,21.12,46.77,8.85,98.39,chickpea,Sfax,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,autumn,winter,spring,1925684.0,330755483.8,712503.08,1.626923077,2023,7,2023-07-15,35.4,22.2,0.0,20.1,District IV (Sud-Ouest)
605,99,19,33,27.536454700000004,55.51673151,6.273741983,130.6377143,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,970.0,153260.0,320.1,1.993939393939394,2020,6,2020-06-08,28.3,16.4,0.7,23.8,District I (Nord-Ouest)
606,17,136,196,23.87192332,90.49939035,5.882155987999999,103.0548094,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,14473.0,2286734.0,4776.09,15.15959595959596,2024,12,2024-12-31,15.7,7.2,4.3,11.3,District II (Grand Tunis et ses environs)
607,110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,780.0,123240.0,257.40000000000003,30.444444444444443,2022,7,2022-07-08,30.3,21.4,0.0,26.1,District I (Nord-Ouest)
608,113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,283.0,45902.6,99.05,1.515,2023,6,2023-06-30,40.3,21.8,0.0,25.0,District I (Nord-Ouest)
609,107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,750.0,118500.0,247.5,27.616161616161616,2024,10,2024-10-13,33.3,17.2,0.0,7.8,District I (Nord-Ouest)
610,167,83,127,25.0,67.0,7.0,567.0,pomegranate,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,6619.0,1045802.0,2184.27,9.276699029126211,2020,4,2020-04-28,25.6,14.5,0.3,13.8,District I (Nord-Ouest)
611,39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,lentil,Kairouan,Drip,DAP,bad,medium,best,autumn,winter,spring,76425.0,12075150.0,25220.25,1.2345454545454546,2021,8,2021-08-21,36.9,24.8,0.0,20.8,District III (Centre/Sahel)
612,111,6,53,26.493064500000006,88.59143088,6.313512998999999,46.06382209,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,1147.0,181226.0,378.51,34.33300970873786,2022,9,2022-09-30,31.3,16.0,0.0,25.1,District I (Nord-Ouest)
613,121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,1105.0,174490.55,364.65,2.101428571,2023,8,2023-08-22,35.0,22.3,0.2,17.4,District I (Nord-Ouest)
614,119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,2428.0,382264.32,922.64,11.115,2021,7,2021-07-30,43.2,24.9,0.0,19.0,District I (Nord-Ouest)
615,93,26,27,24.59245684,56.46829641,7.288211994,137.70440469999997,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,102.0,16116.0,33.660000000000004,0.6464646464646464,2022,4,2022-04-08,22.6,6.8,0.0,19.8,District I (Nord-Ouest)
616,100,50,80,15.0,50.0,6.0,300.0,soft wheat,Jendouba,Sprinkler,Urea,bad,best,bad,autumn,winter,spring,66700.0,10538600.0,22011.0,2.0,2024,11,2024-11-21,20.1,13.1,0.6,18.3,District I (Nord-Ouest)
617,65,63,50,31.88342554,91.3256535,6.524459342,79.27201575,papaya,Tunis,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,294.0,46452.0,97.02,48.63636363636364,2020,2,2020-02-24,22.3,7.7,0.0,15.7,District II (Grand Tunis et ses environs)
618,52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram,Kasserine,Drip,DAP,bad,medium,best,summer,summer,autumn,78.0,12324.0,25.74,0.8181818181818182,2023,10,2023-10-05,30.6,18.9,0.0,10.8,District III (Centre/Sahel)
619,106,21,35,25.627355,57.04151119,7.4285236339999985,188.5506536,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,516.0,81528.0,170.28,1.6424242424242423,2024,1,2024-01-28,16.4,7.8,0.0,13.7,District I (Nord-Ouest)
620,50,20,40,15.0,40.0,6.0,200.0,olive,Kasserine,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,autumn,1000.0,158000.0,330.0,4.5,2021,3,2021-03-06,21.2,8.8,0.0,15.7,District III (Centre/Sahel)
621,67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute,Tunis,Flood,Twenty Eight-Twenty Eight,best,medium,bad,spring,summer,autumn,75140.0,11515205.0,26299.0,10.32555556,2020,12,2020-12-29,18.0,7.1,0.4,13.4,District II (Grand Tunis et ses environs)
622,9,143,197,23.75033085,92.88160462,5.570020684,117.6602827,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,22645.0,3577910.0,7472.85,29.131313131313128,2024,9,2024-09-05,33.8,25.4,0.4,19.3,District II (Grand Tunis et ses environs)
623,57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,267629.0,42261295.39,88317.57,0.708461538,2023,7,2023-07-27,33.9,23.6,0.0,18.1,District II (Grand Tunis et ses environs)
624,2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean,Tataouine,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,summer,summer,autumn,97.0,15326.0,32.01,0.7828282828282829,2021,8,2021-08-04,43.7,28.1,0.0,29.9,District V (Sud)
625,69,64,47,40.21199348,94.50766912,6.993473247000001,186.6762324,papaya,Tunis,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,112.0,17696.0,36.96,69.54545454545455,2021,5,2021-05-24,28.0,17.5,0.0,22.9,District II (Grand Tunis et ses environs)
626,88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,3383.0,534514.0,1116.39,59.64174757281553,2023,4,2023-04-11,21.4,8.1,0.0,17.7,District I (Nord-Ouest)
627,32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,1000.0,158000.0,330.0,13.11111111111111,2024,9,2024-09-17,28.5,18.7,0.3,22.8,District II (Grand Tunis et ses environs)
628,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,28420.0,4487802.2,9378.6,2.514074074,2021,3,2021-03-02,18.3,12.4,0.3,26.8,District I (Nord-Ouest)
629,82,75,55,27.34585147,78.48738349999998,6.281069505,92.15524332,banana,Bizerte,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,69378.0,10922872.32,26363.64,45.97483871,2021,2,2021-02-18,16.0,8.8,0.0,17.4,District I (Nord-Ouest)
630,60,55,36,26.12797248,80.49172597,7.132389299,150.6326874,jute,Tunis,Flood,DAP,best,medium,bad,spring,summer,autumn,544701.0,86013734.91,179751.33,15.37588235,2022,2,2022-02-27,14.7,7.5,0.0,14.1,District II (Grand Tunis et ses environs)
631,2,67,18,34.51934775,47.52980027,5.921666758,129.0064612,pigeonpeas,Sfax,Drip,DAP,bad,medium,best,spring,summer,autumn,16.0,2528.0,5.28,1.022222222222222,2021,9,2021-09-22,33.2,24.2,0.0,28.0,District IV (Sud-Ouest)
632,44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,467.0,71567.75,163.45,0.35,2021,4,2021-04-04,21.0,12.5,0.0,18.2,District II (Grand Tunis et ses environs)
633,56,57,48,31.56213762,93.0484859,6.506120752,63.62250788,papaya,Tunis,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,637.0,100646.0,210.21,34.54545454545455,2024,2,2024-02-10,19.2,11.4,4.6,27.2,District II (Grand Tunis et ses environs)
634,27,80,15,19.07096165,21.21092266,5.7883869510000014,86.21917578,kidneybeans,Sidi Bouzid,Drip,DAP,bad,medium,best,spring,summer,autumn,820.0,129560.0,270.6,0.9747474747474748,2020,4,2020-04-25,25.5,11.7,0.1,15.5,District IV (Sud-Ouest)
635,39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil,Kairouan,Drip,DAP,bad,medium,best,autumn,winter,spring,176375.0,27867250.0,58203.75,1.1363636363636365,2024,1,2024-01-14,20.0,4.6,0.0,13.2,District III (Centre/Sahel)
636,107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,1.0,158.0,0.33,2.0525252525252524,2020,8,2020-08-15,40.3,25.5,0.0,15.0,District I (Nord-Ouest)
637,54,65,47,27.92765919,91.55594211,6.721835879,149.91075569999995,papaya,Tunis,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,596.0,94168.0,196.68,39.09090909090909,2023,5,2023-05-15,18.5,14.0,18.5,25.1,District II (Grand Tunis et ses environs)
638,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Jendouba,Flood,Urea,best,medium,bad,spring,summer,autumn,1890960.0,289789620.0,661836.0,1.996666667,2024,8,2024-08-15,37.1,23.5,3.3,24.4,District I (Nord-Ouest)
639,68,58,64,15.79,60.0,6.97,683.61,garlic,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,4661.0,736018.51,1538.13,1.33875,2023,4,2023-04-18,21.6,10.9,0.1,13.7,District II (Grand Tunis et ses environs)
640,25,21,11,32.23797837,90.15406807,6.460044777999999,104.7052254,orange,Gabes,Drip,Twenty Eight-Twenty Eight,bad,medium,best,spring,summer,autumn,16738.0,2644604.0,5523.54,17.75151515151515,2021,6,2021-06-05,37.7,20.7,0.0,35.5,District V (Sud)
641,11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,4500.0,711000.0,1485.0,12.555555555555555,2021,4,2021-04-01,22.3,10.0,0.0,14.5,District II (Grand Tunis et ses environs)
642,21,6,41,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,7005.0,1106790.0,2311.65,11.859223300970871,2024,6,2024-06-18,30.8,22.3,0.0,19.5,District IV (Sud-Ouest)
643,24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil,Sidi Bouzid,Drip,DAP,bad,medium,best,autumn,winter,spring,40080.0,6332640.0,13226.4,0.9236363636363636,2021,2,2021-02-25,18.4,4.9,0.0,9.5,District IV (Sud-Ouest)
644,180,103,173,21.7,73.0,6.17,700.0,potato,Jendouba,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,autumn,winter,spring,3235.0,510838.85,1067.55,20.9825,2023,5,2023-05-24,24.3,14.5,0.1,19.3,District I (Nord-Ouest)
645,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Jendouba,Flood,Urea,best,medium,bad,spring,summer,autumn,1890960.0,289789620.0,661836.0,1.996666667,2021,4,2021-04-30,34.0,13.3,0.0,26.9,District I (Nord-Ouest)
646,65,63,56,21.27,62.02,6.94,621.4,garlic,Tunis,Drip,DAP,bad,medium,best,autumn,winter,spring,62.0,9790.42,20.46,6.05,2023,7,2023-07-23,43.8,27.3,0.0,22.5,District II (Grand Tunis et ses environs)
647,60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,Tunis,Flood,Twenty Eight-Twenty Eight,best,medium,bad,spring,summer,autumn,63889.0,10973574.64,23638.93,2.36,2023,9,2023-09-13,36.4,23.2,0.0,19.7,District II (Grand Tunis et ses environs)
648,60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,690.86,112057.492,241.801,0.70375,2023,10,2023-10-03,27.7,18.2,0.0,14.5,District II (Grand Tunis et ses environs)
649,103,40,30,27.30901814,55.196224,6.3483162570000005,141.48316440000005,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,546.0,86268.0,180.18,2.404040404040404,2023,5,2023-05-16,19.1,12.7,3.8,34.1,District I (Nord-Ouest)
650,35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,26309.0,4156822.0,8681.970000000001,10.747474747474747,2022,5,2022-05-21,30.5,14.9,0.0,16.9,District II (Grand Tunis et ses environs)
651,119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana,Jendouba,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,7273.0,1179680.6,2545.55,10.72727273,2021,10,2021-10-01,29.8,16.0,0.0,9.7,District I (Nord-Ouest)
652,132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,653953.0,112322967.3,241962.61,0.543846154,2023,3,2023-03-24,26.2,8.3,0.0,16.3,District I (Nord-Ouest)
653,95,30,52,29.48069921,90.33698678,6.640470862999999,26.0365768,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,70.0,11060.0,23.1,20.404040404040405,2024,10,2024-10-16,31.0,19.2,0.0,16.7,District I (Nord-Ouest)
654,95,13,46,29.84070774,93.76312893,6.126019932,23.28207838,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,120.0,18960.0,39.6,29.454545454545453,2020,4,2020-04-23,19.7,11.3,0.7,17.0,District I (Nord-Ouest)
655,13,28,33,28.130115000000004,95.64807631,5.686972967000001,151.0761899,coconut,Sfax,Flood,Ten-Twenty Six-Twenty Six,best,medium,bad,summer,summer,autumn,103948.0,16414428.68,34302.84,12616.92333,2021,8,2021-08-14,33.2,25.3,0.0,19.9,District IV (Sud-Ouest)
656,48,62,15,25.36586097,66.6379724,7.538631462000001,65.81655892,blackgram,Kasserine,Drip,DAP,bad,medium,best,summer,summer,autumn,97.0,15326.0,32.01,0.7525252525252526,2021,11,2021-11-30,16.7,6.4,0.0,9.1,District III (Centre/Sahel)
657,200,100,150,30.0,75.0,7.5,700.0,cabbage,Jendouba,Sprinkler,Urea,bad,best,bad,winter,winter,spring,170.0,26860.0,56.1,40.0,2021,8,2021-08-25,39.4,22.6,0.0,20.6,District I (Nord-Ouest)
658,83,21,28,25.5674832,60.49244602,7.466900682999999,190.2257843,coffee,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,304.0,48032.0,100.32,2.872727272727273,2023,12,2023-12-20,16.7,13.2,0.4,36.8,District I (Nord-Ouest)
659,23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,mango,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,summer,51218.0,8092444.0,16901.940000000002,9.02020202020202,2023,3,2023-03-12,28.6,17.4,0.0,34.4,District IV (Sud-Ouest)
660,0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut,Sfax,Flood,Ten-Twenty Six-Twenty Six,best,medium,bad,summer,summer,autumn,790223.0,124784113.9,260773.59,6721.946429,2021,4,2021-04-17,17.5,12.1,7.1,26.8,District IV (Sud-Ouest)
661,10,24,27,27.57283516,94.90485697,5.7084096010000005,145.9298935,coconut,Sfax,Flood,Ten-Twenty Six-Twenty Six,best,medium,bad,summer,summer,autumn,446607.0,70313806.08,169710.66,8182.769667,2020,7,2020-07-07,33.7,23.0,0.0,29.5,District IV (Sud-Ouest)
662,34,6,27,25.84726298,90.92669463,5.8607404810000014,147.8888994,coconut,Sfax,Flood,Seventeen-Seventeen-Seventeen,best,medium,bad,summer,summer,autumn,20602.0,3253261.82,6798.66,7708.538889,2024,8,2024-08-10,34.9,24.2,0.0,22.4,District IV (Sud-Ouest)
663,25,121,201,30.50734778,82.71775569,5.594240602999999,70.08200379,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,4300.0,679400.0,1419.0,6.666666666666666,2021,11,2021-11-21,20.8,10.3,0.2,10.9,District II (Grand Tunis et ses environs)
664,2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,823.0,130034.0,271.59000000000003,13.703883495145632,2020,6,2020-06-11,26.8,19.0,0.0,22.1,District IV (Sud-Ouest)
665,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Bizerte,Flood,Urea,best,medium,bad,spring,summer,autumn,18686.0,2863629.5,6540.1,2.525333333,2024,3,2024-03-03,21.8,11.3,10.5,33.9,District I (Nord-Ouest)
